id,node_type,wiki_url
António Feliciano de Castilho,expanded,https://en.wikipedia.org/wiki/Ant%C3%B3nio_Feliciano_de_Castilho
Apostles in the New Testament,expanded,https://en.wikipedia.org/wiki/Apostles_in_the_New_Testament
Applied behavior analysis,expanded,https://en.wikipedia.org/wiki/Applied_behavior_analysis
Applied psychology,expanded,https://en.wikipedia.org/wiki/Applied_psychology
Archangel,expanded,https://en.wikipedia.org/wiki/Archangel
Archival research,expanded,https://en.wikipedia.org/wiki/Archival_research
Argument from beauty,expanded,https://en.wikipedia.org/wiki/Argument_from_beauty
Argument from consciousness,expanded,https://en.wikipedia.org/wiki/Argument_from_consciousness
Argument from degree,expanded,https://en.wikipedia.org/wiki/Argument_from_degree
Argument from desire,expanded,https://en.wikipedia.org/wiki/Argument_from_desire
Argument from free will,expanded,https://en.wikipedia.org/wiki/Argument_from_free_will
Argument from inconsistent revelations,expanded,https://en.wikipedia.org/wiki/Argument_from_inconsistent_revelations
Argument from love,expanded,https://en.wikipedia.org/wiki/Argument_from_love
Argument from miracles,expanded,https://en.wikipedia.org/wiki/Argument_from_miracles
Argument from morality,expanded,https://en.wikipedia.org/wiki/Argument_from_morality
Argument from nonbelief,expanded,https://en.wikipedia.org/wiki/Argument_from_nonbelief
Argument from poor design,expanded,https://en.wikipedia.org/wiki/Argument_from_poor_design
Argument from reason,expanded,https://en.wikipedia.org/wiki/Argument_from_reason
Argument from religious experience,expanded,https://en.wikipedia.org/wiki/Argument_from_religious_experience
Ars Mathematica (organization),expanded,https://en.wikipedia.org/wiki/Ars_Mathematica_%28organization%29
Art Tower Mito,expanded,https://en.wikipedia.org/wiki/Art_Tower_Mito
Art UK,expanded,https://en.wikipedia.org/wiki/Art_UK
Arthur Foote,expanded,https://en.wikipedia.org/wiki/Arthur_Foote
Arthur Holly Compton,expanded,https://en.wikipedia.org/wiki/Arthur_Holly_Compton
Arthur Oncken Lovejoy,expanded,https://en.wikipedia.org/wiki/Arthur_Oncken_Lovejoy
Arthur Symons,expanded,https://en.wikipedia.org/wiki/Arthur_Symons
Ary Scheffer,expanded,https://en.wikipedia.org/wiki/Ary_Scheffer
